"","year","water_table_height_yearly","population_yearly","shelter_yearly","precipitation_yearly","water_index_yearly","pop_index_yearly","sustainability_yearly"
"1",1,-9.57962064690981,385906.837187347,4486.16698230291,1.00625927576923,0.00499219892954766,0.978723404255319,0.329569267371471
"2",2,-6.34434442610079,389785.265380003,4531.25371004253,0.990049275769231,0.00656270473668586,0.957894736842105,0.323673382105159
"3",3,-3.22437133757294,393702.672424018,4576.79356692921,0.973839275769231,0.00807153922506913,0.9375,0.317881026150046
"4",4,-0.219701381326247,397659.450063363,4622.7911069866,0.957629275769231,0.00951924146001167,0.917525773195876,0.312188085371967
"5",5,2.66966544263928,401655.993979098,4669.25093000702,0.941419275769231,0.0109063263871372,0.897959183673469,0.306590612149248
"6",6,5.44372913432363,405692.703828946,4716.1776820115,0.925209275769231,0.0122332853011516,0.878787878787879,0.301084816463394
"7",7,8.10248969372683,409769.983287255,4763.57605571434,0.908999275769231,0.0135005862904284,0.86,0.295667057526952
"8",8,10.6459471208489,413888.240085368,4811.45079099241,0.892789275769231,0.0147086746581777,0.841584158415841,0.290333835910732
"9",9,13.0741014156897,418047.886052399,4859.80667535913,0.876579275769231,0.0158579733209154,0.823529411764706,0.285081786135512
"10",10,15.3869525782494,422249.337156408,4908.64854444325,0.860369275769231,0.0169488831849143,0.805825242718447,0.279907669696092
"11",11,17.5845006085279,426493.01354601,4957.98128247236,0.844159275769231,0.0179817835012683,0.788461538461538,0.274808368488025
"12",12,19.6667455065253,430779.339592377,5007.80982276139,0.827949275769231,0.0189570322001706,0.771428571428571,0.269780878609638
"13",13,21.6336872722415,435108.743931688,5058.13914820588,0.811739275769231,0.0198749662049576,0.754716981132075,0.264822304513997
"14",14,23.4853259056765,439481.659507984,5108.97429178032,0.795529275769231,0.020735901726445,0.738317757009346,0.259929853487412
"15",15,25.2216614068304,443898.523616467,5160.32033704143,0.779319275769231,0.021540134538037,0.722222222222222,0.255100830432765
"16",16,26.8426937757031,448359.777947228,5212.18241863652,0.763109275769231,0.0222879402320619,0.706422018348624,0.250332632937583
"17",17,28.3484230122946,452865.868629418,5264.56572281698,0.746899275769231,0.0229795744577527,0.690909090909091,0.245622746608199
"18",18,29.738849116605,457417.246275861,5317.47548795688,0.730689275769231,0.0236152731412571,0.675675675675676,0.24096874065273
"19",19,31.0139720886342,462014.366028113,5370.91700507682,0.714479275769231,0.0241952526880374,0.660714285714286,0.236368263696787
"20",20,32.1737919283822,466657.687601982,5424.89561837304,0.698269275769231,0.0247197101679791,0.646017699115044,0.231819039817001
"21",21,33.2183086358491,471347.675333493,5479.41672575186,0.682059275769231,0.0251888234835143,0.631578947368421,0.227318864778483
"22",22,34.1475222110348,476084.798225329,5534.48577936945,0.665849275769231,0.0256027515210197,0.617391304347826,0.222865602463288
"23",23,34.9614326539394,480869.529993726,5590.10828617706,0.649639275769231,0.0259616342857369,0.603448275862069,0.218457181477848
"24",24,35.6600399645627,485702.349115848,5646.28980847173,0.633429275769231,0.0262655930204286,0.58974358974359,0.214091591928149
"25",25,36.243344142905,490583.738877635,5703.03596445251,0.617219275769231,0.0265147303079548,0.576271186440678,0.209766882352196
"26",26,36.711345188966,495514.187422131,5760.35242878228,0.601009275769231,0.0267091301579361,0.563025210084034,0.205481156799969
"27",27,37.0640431027459,500494.1877983,5818.24493315523,0.584799275769231,0.0268488580776387,0.55,0.201232572051759
"28",28,37.3014378842446,505524.238010328,5876.71926687006,0.568589275769231,0.0269339611271927,0.537190082644628,0.197019334966338
"29",29,37.4235295334621,510604.841067428,5935.78127740885,0.552379275769231,0.0269644679592325,0.524590163934426,0.192839699950964
"30",30,37.4303180503985,515736.505034141,5995.43687102189,0.536169275769231,0.0269403888430171,0.51219512195122,0.188691966545751
"31",31,37.3218034350537,520919.743081139,6055.69201331824,0.519959275769231,0.0268617156730759,0.5,0.184574477115384
"32",32,37.0979856874278,526155.073536546,6116.55272986235,0.503749275769231,0.0267284219623846,0.488,0.18048561464159
"33",33,36.7588648075207,531443.019937771,6178.02510677659,0.487539275769231,0.0265404628200682,0.476190476190476,0.176423800610204
"34",34,36.3044407953324,536784.111083861,6240.11529134988,0.471329275769231,0.0262977749135912,0.464566929133858,0.172387492987014
"35",35,35.7347136508629,542178.88108838,6302.82949265242,0.455119275769231,0.0260002764153776,0.453125,0.168375184276918
"36",36,35.0496833741123,547627.869432825,6366.1739821566,0.438909275769231,0.0256478669337755,0.441860465116279,0.164385399661277
"37",37,34.2493499650805,553131.621020572,6430.15509436415,0.422699275769231,0.0252404274282598,0.430769230769231,0.160416695208583
"38",38,33.3337134237676,558690.686231366,6494.77922743963,0.406489275769231,0.0247778201087354,0.419847328244275,0.156467656153915
"39",39,32.3027737501735,564305.62097636,6560.05284385018,0.390279275769231,0.0242598883187854,0.409090909090909,0.152536895242827
"40",40,31.1565309442982,569976.986753707,6625.98247101185,0.374069275769231,0.0236864564026767,0.398496240601504,0.148623051135619
"41",41,29.8949850061417,575705.350704713,6692.57470194228,0.357859275769231,0.0230573295559126,0.388059701492537,0.144724786868121
"42",42,28.5181359357041,581491.285670544,6759.83619592008,0.341649275769231,0.0223722936590943,0.377777777777778,0.140840788365322
"43",43,27.0259837329854,587335.370249521,6827.77367915068,0.325439275769231,0.0216311150948255,0.367647058823529,0.136969763004393
"44",44,25.4185283979854,593238.188854971,6896.39394543903,0.309229275769231,0.0208335405473659,0.357664233576642,0.133110438223791
"45",45,23.6957699307043,599200.331773672,6965.70385686894,0.293019275769231,0.0199792967847122,0.347826086956522,0.129261560175315
"46",46,21.857708331142,605222.395224887,7035.71034448931,0.276809275769231,0.0190680904227541,0.338129496402878,0.125421892416129
"47",47,19.9043435992986,611304.981419977,7106.42040900723,0.260599275769231,0.0180996076711194,0.328571428571429,0.121590214637889
"48",48,17.835675735174,617448.698622632,7177.8411214881,0.244389275769231,0.0170735140602991,0.319148936170213,0.11776532143027
"49",49,15.6517047387682,623654.161209692,7249.97962406267,0.228179275769231,0.0159894541496008,0.309859154929577,0.11394602107626
"50",50,13.3524306100813,629921.989732586,7322.84313064131,0.211969275769231,0.0148470512154492,0.300699300699301,0.110131134376733
